fname,label
clip_09b8290ac.wav,voice
clip_09c8dee4c.wav,voice
clip_fcff73292.wav,voice
clip_f7e1cdfef.wav,voice
clip_6a5993f68.wav,voice
clip_2be4436a7.wav,voice
clip_54cfdedcf.wav,voice
clip_13a5ece3c.wav,voice
clip_00e3f51b4.wav,voice
clip_e830d1032.wav,voice
clip_5d37d91a7.wav,voice
clip_ae362cffe.wav,noise
clip_b224e48d0.wav,voice
clip_b66f19505.wav,voice
clip_661321eff.wav,voice
clip_c5c635241.wav,voice
clip_fb963b2a6.wav,voice
clip_5df70ad71.wav,voice
clip_8b35ef551.wav,voice
clip_9f12f91be.wav,silence
clip_42b65ac3b.wav,silence
clip_d200f7c39.wav,voice
clip_8d7c484d1.wav,voice
clip_b931a83e1.wav,voice
clip_68b7afacd.wav,voice
clip_65f46e9ac.wav,voice
clip_30c16a3ba.wav,voice
clip_cbe51a78e.wav,silence
clip_0de901007.wav,voice
clip_e1f461f53.wav,silence
clip_14d1c6847.wav,voice
clip_b941ddb35.wav,voice
clip_1a1cba75c.wav,voice
clip_e8c0a21a7.wav,voice
clip_596a9c2a1.wav,silence
clip_ffcc600f6.wav,voice
clip_0b1e9387a.wav,voice
clip_7ff639002.wav,voice
clip_faa1425d2.wav,voice
clip_14d3ca8e9.wav,voice
clip_ace3fb6da.wav,voice
clip_ad5f1b9bc.wav,voice
clip_faf22946c.wav,voice
clip_74da54be3.wav,voice
clip_a055f5b3f.wav,voice
clip_e32764b9e.wav,silence
clip_986765b9a.wav,voice
clip_4a51c7819.wav,voice
clip_051e0ff10.wav,voice
clip_bbeb7b32c.wav,silence
clip_15575b4da.wav,voice
clip_8e0a8fd86.wav,voice
clip_bc0bf4936.wav,voice
clip_56efd1472.wav,voice
clip_7f4392519.wav,voice
clip_7b3f03e29.wav,voice
clip_8b1dfd483.wav,voice
clip_70fe34169.wav,voice
clip_bf9ddd34c.wav,voice
clip_db35988e2.wav,voice
clip_cbf9d7a37.wav,voice
clip_c5e114ad5.wav,voice
clip_97a7a839a.wav,voice
clip_f485e614b.wav,voice
clip_a5e4dc429.wav,voice
clip_df1a90229.wav,voice
clip_59568e314.wav,voice
clip_22e606b97.wav,voice
clip_3d9bc56fe.wav,silence
clip_2d29317a3.wav,voice
clip_a7d721ae4.wav,voice
clip_b0c34edee.wav,voice
clip_8449c53bb.wav,voice
clip_36027d20e.wav,voice
clip_e1db8b2dc.wav,voice
clip_7794a45bc.wav,voice
clip_ec603a453.wav,voice
clip_3091d5c5b.wav,voice
clip_ca62df0e0.wav,voice
clip_3cb415e26.wav,voice
clip_0c8fd4acb.wav,voice
clip_7997a87c3.wav,voice
clip_a3eea58ac.wav,voice
clip_f04bef0e0.wav,voice
clip_cfc2b8c8d.wav,voice
clip_d6651a312.wav,voice
clip_df7bfdeae.wav,voice
clip_bebf04cd4.wav,voice
clip_0dad9a1ac.wav,voice
clip_bce5c2688.wav,silence
clip_db51e5cee.wav,voice
clip_9884b5985.wav,voice
clip_a03a61baf.wav,voice
clip_6c88e7f40.wav,voice
clip_87a77dcb8.wav,voice
clip_766da19d2.wav,voice
clip_d6eff45e2.wav,voice
clip_cebfc241a.wav,voice
clip_fc1adebf6.wav,voice
clip_8e359d0f6.wav,noise
clip_835505be6.wav,voice
clip_25165c1ee.wav,voice
clip_e681b8c5c.wav,voice
clip_8337806b4.wav,voice
clip_0587279a6.wav,voice
clip_9a086afd7.wav,voice
clip_6f226cfa7.wav,voice
clip_c33cc3797.wav,voice
clip_15273e01c.wav,voice
clip_c586ec439.wav,voice
clip_ee40e20c3.wav,voice
clip_2f25f96c3.wav,voice
clip_2056c7f11.wav,voice
clip_3ab8b484f.wav,voice
clip_c74261e4e.wav,silence
clip_cea8a0547.wav,silence
clip_291d3ca83.wav,voice
